"Product Name","Permalink","Description","Excerpt","Price","Sale Price","Featured Image","Stock Status"
"Gabreil Argy Rousseau pate-de-verre vase","http://treasureantique.com/shop/gabreil-argy-rousseau-pate-de-verre-vase/","<b>Gabreil Argy Rousseau pate-de-verre vase</b>",,,,"http://treasureantique.com/wp-content/uploads/2013/01/Picture-218.jpg","In Stock"
"Loetz iridescent green vase","http://treasureantique.com/shop/loetz-iridescent-green-vase/",,,,,"http://treasureantique.com/wp-content/uploads/2013/01/Picture-219.jpg","In Stock"
"Important French Champlev Clock Garniture 19th Century 13&#8243; high","http://treasureantique.com/shop/important-french-champlev-clock-garniture-19th-century-13-high/",,,,,"http://treasureantique.com/wp-content/uploads/2013/01/clock.jpg","In Stock"
"Royal Doulton Lydia HN1908","http://treasureantique.com/shop/royal-doulton-lydia-hn1908/","<strong>Royal Doulton Lydia HN1908</strong>
<table border=""0"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Backstamp:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">Royal Doulton England</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Issued: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">1939 - 1995</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Colour: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">red</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Label:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">L. Harradine</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Dimensions:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">12cm</td>
</tr>
</tbody>
</table>
&nbsp;

<a href=""http://treasureantique.com/wp-content/uploads/2013/02/LydiaHN1908.jpg""><img class=""alignnone size-thumbnail wp-image-79"" alt=""LydiaHN1908"" src=""http://treasureantique.com/wp-content/uploads/2013/02/LydiaHN1908-150x150.jpg"" width=""150"" height=""150"" /></a>

The Royal Doulton Company began as a partnership between John Doulton, Martha Jones, and John Watts, with a factory at Vauxhall Walk, Lambeth, London. The business specialised in making stoneware articles, including decorative bottles and salt glaze sewer pipes. The company took the name Doulton in 1853.

By 1871, Henry Doulton, John's son, launched a studio at the Lambeth pottery, and offered work to designers and artists from the nearby Lambeth School of Art. The first to be enaged was George Tinworth followed by artists such as the Barlow family (Florence, Hannah, and Arthur), Frank Butler, Mark Marshall and Eliza Simmance. In 1882, Doulton purchased the small factory of Pinder, Bourne & Co, at Nile Street in Burslem, Staffordshire, which placed Doulton in the region known as The Potteries.

The Lambeth factory closed in 1956 due to clean air regulations preventing urban production of salt glaze. Following closure, work was transferred to The Potteries.

The headquarters building and factory of the Royal Doulton ceramics firm were in Lambeth, on the south bank of the Thames. This Art Deco building was designed by T.P.Bennett. In 1939 Gilbert Bayes created the friezes that showed the history of pottery through the ages. The factory building was demolished in 1978 and the friezes transferred to the Victoria & Albert Museum. The office building in Black Prince Road survives, complete with a frieze of potters and Sir Henry Doulton over the original main entrance, executed by Tinworth.

On 30 September 2005, the Nile Street factory closed. Some items are now made in the parent company, WWRD Holdings Ltd in Barlaston, south of the Potteries Conurbation. Further production is carried out in Indonesia

Royal Doulton Ltd (along with other Waterford Wedgwood companies) went into administration on 5 January 2009. The company is now part of WWRD Holdings Ltd.

&nbsp;",,"200","100","http://treasureantique.com/wp-content/uploads/2013/02/LydiaHN1908.jpg","In Stock"
"Royal Doulton Priscilla HN 1340","http://treasureantique.com/shop/royal-doulton-priscilla-hn-1340/","<strong>Royal Doulton Priscilla HN 1340</strong>
<table border=""0"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Backstamp:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">Royal Doulton England</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Issued: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">1929 - 1949</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Colour: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">red and purple</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Label:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">L. Harradine</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Dimensions:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">20.3cm</td>
</tr>
</tbody>
</table>
&nbsp;

<a href=""http://treasureantique.com/wp-content/uploads/2013/02/Priscilla-HN1340.jpg""><img class=""alignnone size-thumbnail wp-image-86"" alt=""Priscilla-HN1340"" src=""http://treasureantique.com/wp-content/uploads/2013/02/Priscilla-HN1340-150x150.jpg"" width=""150"" height=""150"" /></a>

The Royal Doulton Company began as a partnership between John Doulton, Martha Jones, and John Watts, with a factory at Vauxhall Walk, Lambeth, London. The business specialised in making stoneware articles, including decorative bottles and salt glaze sewer pipes. The company took the name Doulton in 1853.

By 1871, Henry Doulton, John's son, launched a studio at the Lambeth pottery, and offered work to designers and artists from the nearby Lambeth School of Art. The first to be enaged was George Tinworth followed by artists such as the Barlow family (Florence, Hannah, and Arthur), Frank Butler, Mark Marshall and Eliza Simmance. In 1882, Doulton purchased the small factory of Pinder, Bourne & Co, at Nile Street in Burslem, Staffordshire, which placed Doulton in the region known as The Potteries.

The Lambeth factory closed in 1956 due to clean air regulations preventing urban production of salt glaze. Following closure, work was transferred to The Potteries.

The headquarters building and factory of the Royal Doulton ceramics firm were in Lambeth, on the south bank of the Thames. This Art Deco building was designed by T.P.Bennett. In 1939 Gilbert Bayes created the friezes that showed the history of pottery through the ages. The factory building was demolished in 1978 and the friezes transferred to the Victoria & Albert Museum. The office building in Black Prince Road survives, complete with a frieze of potters and Sir Henry Doulton over the original main entrance, executed by Tinworth.

On 30 September 2005, the Nile Street factory closed. Some items are now made in the parent company, WWRD Holdings Ltd in Barlaston, south of the Potteries Conurbation. Further production is carried out in Indonesia

Royal Doulton Ltd (along with other Waterford Wedgwood companies) went into administration on 5 January 2009. The company is now part of WWRD Holdings Ltd.

&nbsp;

&nbsp;",,"750","375","http://treasureantique.com/wp-content/uploads/2013/02/Priscilla-HN1340.jpg","In Stock"
"Royal Doulton The Mendicant HN1365","http://treasureantique.com/shop/royal-doulton-the-mendicant-hn1365/","<strong>Royal Doulton The Mendicant HN1365</strong>
<table border=""0"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Backstamp:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">Royal Doulton England</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Issued: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">1929 - 1969</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Colour: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">brown</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Label:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">L. Harradine</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Dimensions:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">21cm</td>
</tr>
</tbody>
</table>
&nbsp;

<a href=""http://treasureantique.com/wp-content/uploads/2013/02/Mendicant-HN1365.jpg""><img class=""alignnone size-thumbnail wp-image-88"" alt=""Mendicant-HN1365"" src=""http://treasureantique.com/wp-content/uploads/2013/02/Mendicant-HN1365-150x150.jpg"" width=""150"" height=""150"" /></a>

The Royal Doulton Company began as a partnership between John Doulton, Martha Jones, and John Watts, with a factory at Vauxhall Walk, Lambeth, London. The business specialised in making stoneware articles, including decorative bottles and salt glaze sewer pipes. The company took the name Doulton in 1853.

By 1871, Henry Doulton, John's son, launched a studio at the Lambeth pottery, and offered work to designers and artists from the nearby Lambeth School of Art. The first to be enaged was George Tinworth followed by artists such as the Barlow family (Florence, Hannah, and Arthur), Frank Butler, Mark Marshall and Eliza Simmance. In 1882, Doulton purchased the small factory of Pinder, Bourne & Co, at Nile Street in Burslem, Staffordshire, which placed Doulton in the region known as The Potteries.

The Lambeth factory closed in 1956 due to clean air regulations preventing urban production of salt glaze. Following closure, work was transferred to The Potteries.

The headquarters building and factory of the Royal Doulton ceramics firm were in Lambeth, on the south bank of the Thames. This Art Deco building was designed by T.P.Bennett. In 1939 Gilbert Bayes created the friezes that showed the history of pottery through the ages. The factory building was demolished in 1978 and the friezes transferred to the Victoria & Albert Museum. The office building in Black Prince Road survives, complete with a frieze of potters and Sir Henry Doulton over the original main entrance, executed by Tinworth.

On 30 September 2005, the Nile Street factory closed. Some items are now made in the parent company, WWRD Holdings Ltd in Barlaston, south of the Potteries Conurbation. Further production is carried out in Indonesia

Royal Doulton Ltd (along with other Waterford Wedgwood companies) went into administration on 5 January 2009. The company is now part of WWRD Holdings Ltd.

&nbsp;",,"400","200","http://treasureantique.com/wp-content/uploads/2013/02/Mendicant-HN1365.jpg","In Stock"
"Royal Doulton Miss Demure HN1402","http://treasureantique.com/shop/royal-doulton-miss-demure-hn1402/","<strong>Royal Doulton Miss Demure HN1402</strong>
<table border=""0"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Backstamp:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">Royal Doulton England</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Issued: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">1930 - 1975</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Colour: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">lavender and pink</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Label:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">L. Harradine</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Dimensions:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">19.1cm</td>
</tr>
</tbody>
</table>
&nbsp;

<a href=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Miss-Demure-HN1402.jpg""><img class=""alignnone size-thumbnail wp-image-90"" alt=""FIG-Miss-Demure-HN1402"" src=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Miss-Demure-HN1402-150x150.jpg"" width=""150"" height=""150"" /></a>

The Royal Doulton Company began as a partnership between John Doulton, Martha Jones, and John Watts, with a factory at Vauxhall Walk, Lambeth, London. The business specialised in making stoneware articles, including decorative bottles and salt glaze sewer pipes. The company took the name Doulton in 1853.

By 1871, Henry Doulton, John's son, launched a studio at the Lambeth pottery, and offered work to designers and artists from the nearby Lambeth School of Art. The first to be enaged was George Tinworth followed by artists such as the Barlow family (Florence, Hannah, and Arthur), Frank Butler, Mark Marshall and Eliza Simmance. In 1882, Doulton purchased the small factory of Pinder, Bourne & Co, at Nile Street in Burslem, Staffordshire, which placed Doulton in the region known as The Potteries.

The Lambeth factory closed in 1956 due to clean air regulations preventing urban production of salt glaze. Following closure, work was transferred to The Potteries.

The headquarters building and factory of the Royal Doulton ceramics firm were in Lambeth, on the south bank of the Thames. This Art Deco building was designed by T.P.Bennett. In 1939 Gilbert Bayes created the friezes that showed the history of pottery through the ages. The factory building was demolished in 1978 and the friezes transferred to the Victoria & Albert Museum. The office building in Black Prince Road survives, complete with a frieze of potters and Sir Henry Doulton over the original main entrance, executed by Tinworth.

On 30 September 2005, the Nile Street factory closed. Some items are now made in the parent company, WWRD Holdings Ltd in Barlaston, south of the Potteries Conurbation. Further production is carried out in Indonesia

Royal Doulton Ltd (along with other Waterford Wedgwood companies) went into administration on 5 January 2009. The company is now part of WWRD Holdings Ltd.

&nbsp;

&nbsp;",,"300","150","http://treasureantique.com/wp-content/uploads/2013/02/FIG-Miss-Demure-HN1402.jpg","In Stock"
"Royal Doulton Monica HN1467","http://treasureantique.com/shop/royal-doulton-monica-hn1467/","<strong>Royal Doulton Monica HN1467</strong>
<table border=""0"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Backstamp:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">Royal Doulton England</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Issued: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">1931 - 1955</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Colour: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">flowered purple dress</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Label:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">L. Harradine</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Dimensions:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">10.1cm</td>
</tr>
</tbody>
</table>
&nbsp;

<a href=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Monica-HN1467.jpg""><img class=""alignnone size-thumbnail wp-image-93"" alt=""FIG-Monica-HN1467"" src=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Monica-HN1467-150x150.jpg"" width=""150"" height=""150"" /></a>

The Royal Doulton Company began as a partnership between John Doulton, Martha Jones, and John Watts, with a factory at Vauxhall Walk, Lambeth, London. The business specialised in making stoneware articles, including decorative bottles and salt glaze sewer pipes. The company took the name Doulton in 1853.

By 1871, Henry Doulton, John's son, launched a studio at the Lambeth pottery, and offered work to designers and artists from the nearby Lambeth School of Art. The first to be enaged was George Tinworth followed by artists such as the Barlow family (Florence, Hannah, and Arthur), Frank Butler, Mark Marshall and Eliza Simmance. In 1882, Doulton purchased the small factory of Pinder, Bourne & Co, at Nile Street in Burslem, Staffordshire, which placed Doulton in the region known as The Potteries.

The Lambeth factory closed in 1956 due to clean air regulations preventing urban production of salt glaze. Following closure, work was transferred to The Potteries.

The headquarters building and factory of the Royal Doulton ceramics firm were in Lambeth, on the south bank of the Thames. This Art Deco building was designed by T.P.Bennett. In 1939 Gilbert Bayes created the friezes that showed the history of pottery through the ages. The factory building was demolished in 1978 and the friezes transferred to the Victoria & Albert Museum. The office building in Black Prince Road survives, complete with a frieze of potters and Sir Henry Doulton over the original main entrance, executed by Tinworth.

On 30 September 2005, the Nile Street factory closed. Some items are now made in the parent company, WWRD Holdings Ltd in Barlaston, south of the Potteries Conurbation. Further production is carried out in Indonesia

Royal Doulton Ltd (along with other Waterford Wedgwood companies) went into administration on 5 January 2009. The company is now part of WWRD Holdings Ltd.

&nbsp;",,"175","90","http://treasureantique.com/wp-content/uploads/2013/02/FIG-Monica-HN1467.jpg","In Stock"
"Royal Doulton Greta HN1485","http://treasureantique.com/shop/royal-doulton-greta-hn1485/","<strong>Royal Doulton Greta HN1485</strong>
<table border=""0"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Backstamp:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">Royal Doulton England</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Issued: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">1931 - 1953</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Colour: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">lavender</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Label:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">L. Harradine</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Dimensions:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">14cm</td>
</tr>
</tbody>
</table>
&nbsp;

<a href=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Greta-HN1485.jpg""><img class=""alignnone size-thumbnail wp-image-95"" alt=""FIG-Greta-HN1485"" src=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Greta-HN1485-150x150.jpg"" width=""150"" height=""150"" /></a>

The Royal Doulton Company began as a partnership between John Doulton, Martha Jones, and John Watts, with a factory at Vauxhall Walk, Lambeth, London. The business specialised in making stoneware articles, including decorative bottles and salt glaze sewer pipes. The company took the name Doulton in 1853.

By 1871, Henry Doulton, John's son, launched a studio at the Lambeth pottery, and offered work to designers and artists from the nearby Lambeth School of Art. The first to be enaged was George Tinworth followed by artists such as the Barlow family (Florence, Hannah, and Arthur), Frank Butler, Mark Marshall and Eliza Simmance. In 1882, Doulton purchased the small factory of Pinder, Bourne & Co, at Nile Street in Burslem, Staffordshire, which placed Doulton in the region known as The Potteries.

The Lambeth factory closed in 1956 due to clean air regulations preventing urban production of salt glaze. Following closure, work was transferred to The Potteries.

The headquarters building and factory of the Royal Doulton ceramics firm were in Lambeth, on the south bank of the Thames. This Art Deco building was designed by T.P.Bennett. In 1939 Gilbert Bayes created the friezes that showed the history of pottery through the ages. The factory building was demolished in 1978 and the friezes transferred to the Victoria & Albert Museum. The office building in Black Prince Road survives, complete with a frieze of potters and Sir Henry Doulton over the original main entrance, executed by Tinworth.

On 30 September 2005, the Nile Street factory closed. Some items are now made in the parent company, WWRD Holdings Ltd in Barlaston, south of the Potteries Conurbation. Further production is carried out in Indonesia

Royal Doulton Ltd (along with other Waterford Wedgwood companies) went into administration on 5 January 2009. The company is now part of WWRD Holdings Ltd.

&nbsp;

&nbsp;

&nbsp;",,"500","250","http://treasureantique.com/wp-content/uploads/2013/02/FIG-Greta-HN1485.jpg","In Stock"
"Royal Doulton The Potter HN1493","http://treasureantique.com/shop/royal-doulton-the-potter-hn1493/","<strong>Royal Doulton The Potter HN1493</strong>
<table border=""0"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Backstamp:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">Royal Doulton England</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Issued: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">1932 - 1992</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Colour: </strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">red, purple</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Label:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">C. Noke</td>
</tr>
<tr>
<td align=""right"" valign=""top"" bgcolor=""#FFFFFF"" width=""110""><strong>Dimensions:</strong></td>
<td align=""left"" valign=""top"" bgcolor=""#FFFFFF"">17.6cm</td>
</tr>
</tbody>
</table>
&nbsp;

<a href=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Potter-HN1493.jpg""><img class=""alignnone size-thumbnail wp-image-98"" alt=""FIG-Potter-HN1493"" src=""http://treasureantique.com/wp-content/uploads/2013/02/FIG-Potter-HN1493-150x150.jpg"" width=""150"" height=""150"" /></a>

The Royal Doulton Company began as a partnership between John Doulton, Martha Jones, and John Watts, with a factory at Vauxhall Walk, Lambeth, London. The business specialised in making stoneware articles, including decorative bottles and salt glaze sewer pipes. The company took the name Doulton in 1853.

By 1871, Henry Doulton, John's son, launched a studio at the Lambeth pottery, and offered work to designers and artists from the nearby Lambeth School of Art. The first to be enaged was George Tinworth followed by artists such as the Barlow family (Florence, Hannah, and Arthur), Frank Butler, Mark Marshall and Eliza Simmance. In 1882, Doulton purchased the small factory of Pinder, Bourne & Co, at Nile Street in Burslem, Staffordshire, which placed Doulton in the region known as The Potteries.

The Lambeth factory closed in 1956 due to clean air regulations preventing urban production of salt glaze. Following closure, work was transferred to The Potteries.

The headquarters building and factory of the Royal Doulton ceramics firm were in Lambeth, on the south bank of the Thames. This Art Deco building was designed by T.P.Bennett. In 1939 Gilbert Bayes created the friezes that showed the history of pottery through the ages. The factory building was demolished in 1978 and the friezes transferred to the Victoria & Albert Museum. The office building in Black Prince Road survives, complete with a frieze of potters and Sir Henry Doulton over the original main entrance, executed by Tinworth.

On 30 September 2005, the Nile Street factory closed. Some items are now made in the parent company, WWRD Holdings Ltd in Barlaston, south of the Potteries Conurbation. Further production is carried out in Indonesia

Royal Doulton Ltd (along with other Waterford Wedgwood companies) went into administration on 5 January 2009. The company is now part of WWRD Holdings Ltd.

&nbsp;

&nbsp;

&nbsp;",,"400","200","http://treasureantique.com/wp-content/uploads/2013/02/FIG-Potter-HN1493.jpg","In Stock"
